ridge_weight,lgbm_weight,pearson_mean,pearson_std
0.5,0.5,0.09952350773663782,0.0
0.55,0.44999999999999996,0.09824559254747005,0.0
0.6000000000000001,0.3999999999999999,0.09711578298200257,0.0
0.6500000000000001,0.34999999999999987,0.09611209103020583,0.0
0.7000000000000002,0.2999999999999998,0.09521601429493719,0.0
0.7500000000000002,0.24999999999999978,0.09441211275893693,0.0
0.8000000000000003,0.19999999999999973,0.09368752790971863,0.0
0.8500000000000003,0.1499999999999997,0.0930315363845758,0.0
0.9000000000000004,0.09999999999999964,0.09243516646847198,0.0
0.9500000000000004,0.0499999999999996,0.09189088009762461,0.0
