group,metric,delta
整体,pearson,-0.00415663926846617
整体,rmse,-0.02277787607546622
整体,mae,-0.02133118822255131
整体,squared_error_contribution,0.0
整体,absolute_error_contribution,0.0
普通波动,pearson,-0.017329680956662603
普通波动,rmse,-0.04138778421858569
普通波动,mae,-0.02772244643826377
普通波动,squared_error_contribution,-0.02325255110133828
普通波动,absolute_error_contribution,-0.01577810755902176
中等波动,pearson,0.007251898094831205
中等波动,rmse,-0.024498471688829015
中等波动,mae,0.0032093238470389807
中等波动,squared_error_contribution,0.0025955298068532917
中等波动,absolute_error_contribution,0.009032474495948073
异常波动,pearson,0.0023668815724021963
异常波动,rmse,-0.0013432347953381552
异常波动,mae,0.007303761122633201
异常波动,squared_error_contribution,0.020657021294484823
异常波动,absolute_error_contribution,0.006745633063073603
