feature,fold_count,mean_importance,max_importance,best_rank
X772,4,111604.01006126404,243276.90922546387,1
X777,4,93292.86149215698,185131.6463470459,2
X766,4,66271.99949073792,134737.3733062744,4
X614,4,61796.551403045654,161899.12084960938,3
X602,4,58648.614360809326,131004.21955871582,3
X547,4,49745.6915473938,112714.68572998047,5
X752,4,45903.89152145386,105836.87289428711,1
X759,4,42723.20668029785,88481.63522338867,7
X367,4,37463.18718147278,80155.94063568115,6
X604,4,34797.58342552185,93550.5408706665,2
X120,4,21143.241233825684,42192.41288757324,8
X624,4,20798.650815963745,41422.68451690674,11
X545,4,19038.604166030884,57509.60054779053,9
X603,4,18250.694959640503,41312.12699127197,12
X498,4,17344.830224990845,57126.25182342529,12
X549,4,16495.834785461426,34079.86526489258,10
X365,4,13675.606698989868,37148.94876861572,6
X546,4,9379.613258361816,20484.23797607422,8
X770,4,6390.206205368042,13306.070007324219,18
X519,2,0.0,0.0,19
book_total_qty,1,2493.082000732422,2493.082000732422,20
volume_per_book_qty,1,712.2960052490234,712.2960052490234,20
