feature,importance,fold,rank
X772,193708.13303375244,1,1
X777,185131.6463470459,1,2
X602,131004.21955871582,1,3
X766,126791.45571136475,1,4
X547,112714.68572998047,1,5
X604,93550.5408706665,1,6
X614,81089.43281555176,1,7
X759,81052.96151733398,1,8
X367,80155.94063568115,1,9
X752,71659.57322692871,1,10
X545,57509.60054779053,1,11
X498,57126.25182342529,1,12
X120,41618.34605407715,1,13
X624,41422.68451690674,1,14
X603,41312.12699127197,1,15
X365,37148.94876861572,1,16
X549,34079.86526489258,1,17
X546,15931.788055419922,1,18
X770,12254.75481414795,1,19
volume_per_book_qty,712.2960052490234,1,20
X752,3515.5679626464844,2,1
X777,3044.6019897460938,2,2
X772,2478.7979736328125,2,3
X602,2022.8360290527344,2,4
X766,1682.8299560546875,2,5
X367,1312.6800537109375,2,6
X614,919.0089721679688,2,7
X120,762.2059936523438,2,8
X545,697.6680297851562,2,9
X759,587.1069946289062,2,10
X624,570.6920013427734,2,11
X603,341.8940124511719,2,12
X604,310.4779968261719,2,13
X546,257.989013671875,2,14
X547,0.0,2,15
X498,0.0,2,16
X549,0.0,2,17
X365,0.0,2,18
X519,0.0,2,19
X770,0.0,2,20
X772,243276.90922546387,3,1
X777,181500.6756591797,3,2
X614,161899.12084960938,3,3
X766,134737.3733062744,3,4
X752,105836.87289428711,3,5
X602,101017.01385498047,3,6
X759,88481.63522338867,3,7
X547,86268.08045959473,3,8
X367,68384.12803649902,3,9
X120,42192.41288757324,3,10
X604,41285.89686584473,3,11
X624,41201.22674560547,3,12
X603,31348.758834838867,3,13
X549,31191.610900878906,3,14
X546,20484.23797607422,3,15
X545,17455.50407409668,3,16
X365,15625.11703491211,3,17
X770,13306.070007324219,3,18
X498,12253.069076538086,3,19
book_total_qty,2493.082000732422,3,20
X772,6952.200012207031,4,1
X604,4043.41796875,4,2
X777,3494.52197265625,4,3
X614,3278.6429748535156,4,4
X752,2603.552001953125,4,5
X365,1928.3609924316406,4,6
X766,1876.3389892578125,4,7
X546,844.43798828125,4,8
X759,771.1229858398438,4,9
X549,711.8629760742188,4,10
X602,550.3880004882812,4,11
X545,491.6440124511719,4,12
X120,0.0,4,13
X547,0.0,4,14
X367,0.0,4,15
X498,0.0,4,16
X624,0.0,4,17
X603,0.0,4,18
X519,0.0,4,19
X770,0.0,4,20
